Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
1,1,28,2,2,8,56,1,15947.0
1,1,49,32,2,4,4,1,15947.0
1,7,1,8,2,112,4,1,15947.0
0,4,2,196,1,2,16,1,100.0
1,49,1,2,64,4,2,1,15947.0
0,14,16,7,2,2,8,1,104.0
0,28,1,4,4,16,7,1,104.0
0,4,1,14,56,4,4,1,104.0
0,7,1,14,8,2,32,1,104.0
0,7,14,16,32,1,1,1,96.0
0,7,16,1,8,7,8,1,104.0
0,112,7,1,4,2,8,1,104.0
0,8,14,7,1,32,2,1,100.0
0,14,4,7,8,4,4,1,104.0
0,2,14,2,7,8,16,1,104.0
0,8,1,49,1,32,4,1,96.0
0,28,2,1,1,128,7,1,99.0
0,28,7,2,128,1,1,1,96.0
0,2,2,98,1,32,4,1,100.0
0,1,4,28,16,1,28,1,96.0
0,7,1,16,8,4,14,1,104.0
0,1,1568,1,2,4,4,1,96.0
0,1,4,14,32,28,1,1,96.0
0,196,1,4,8,4,2,1,104.0
0,7,4,56,2,8,2,1,104.0
0,8,49,2,32,1,2,1,100.0
0,2,7,8,14,8,4,1,104.0
0,4,1,14,2,28,16,1,104.0
0,1,16,7,28,2,8,1,104.0
0,98,4,1,8,16,1,1,96.0
0,112,1,2,1,7,32,1,96.0
0,28,2,1,2,56,8,1,104.0
0,2,14,2,56,2,8,1,104.0
0,2,14,2,32,28,1,1,100.0
0,1,28,7,4,4,16,1,104.0
0,1,8,14,14,1,32,1,96.0
0,196,2,1,4,8,4,1,104.0
0,2,56,7,4,2,8,1,104.0
0,49,16,1,1,2,32,1,99.0
0,8,49,1,2,32,2,1,104.0
0,28,2,7,2,16,4,1,104.0
0,8,28,1,56,2,2,1,104.0
1,2,1,28,224,2,2,1,15947.0
1,1,392,4,1,2,16,1,15939.0
1,1,28,7,2,32,4,1,15947.0
0,14,4,28,16,2,1,1,100.0
0,1,1568,1,4,8,1,1,92.0
0,56,1,4,1,7,32,1,96.0
0,196,4,2,4,1,8,1,100.0
0,56,2,1,2,32,7,1,104.0
0,28,8,7,4,8,1,1,100.0
0,1,224,1,16,7,2,1,96.0
0,49,1,8,2,1,64,1,96.0
1,14,4,2,7,2,32,1,15947.0
0,28,1,7,16,4,4,1,104.0
0,2,392,2,8,4,1,1,100.0
0,8,1,7,4,7,32,1,104.0
0,56,1,2,14,1,32,1,96.0
0,7,2,8,7,64,1,1,100.0
0,16,7,2,1,14,16,1,100.0
0,4,2,98,32,2,1,1,100.0
0,28,7,1,1,16,16,1,99.0
0,14,4,1,448,2,1,1,96.0
0,1,7,8,32,1,28,1,96.0
0,49,8,1,2,8,8,1,104.0
0,4,98,2,2,4,8,1,104.0
0,8,1,28,4,28,2,1,104.0
0,28,2,14,4,4,4,1,104.0
0,4,196,1,2,8,4,1,104.0
0,98,2,1,1,32,8,1,99.0
0,7,2,4,64,2,7,1,104.0
0,4,14,1,16,2,28,1,104.0
0,1,7,32,32,7,1,1,96.0
0,2,392,2,2,1,16,1,100.0
0,4,2,98,16,4,1,1,100.0
0,49,1,32,2,1,16,1,96.0
0,28,1,2,112,4,2,1,104.0
0,2,7,8,2,16,14,1,104.0
0,392,1,2,1,4,16,1,96.0
0,14,56,1,64,1,1,1,92.0
0,2,8,7,7,16,4,1,104.0
0,49,1,4,4,64,1,1,96.0
0,2,4,7,4,112,2,1,104.0
0,16,1,7,8,1,56,1,96.0
0,7,1,56,2,1,64,1,96.0
0,14,112,1,2,16,1,1,96.0
0,7,1,28,64,1,4,1,96.0
1,1,392,1,64,2,1,1,15935.0
1,2,2,14,1,14,64,1,15943.0
0,8,1,28,1,16,14,1,96.0
0,32,1,7,16,7,2,1,104.0
0,2,4,98,8,8,1,1,100.0
0,1,2,112,1,7,32,1,96.0
1,1,196,4,4,1,16,1,15939.0
0,2,2,196,1,64,1,1,96.0
1,2,2,56,1,4,56,1,15943.0
0,2,49,4,8,8,2,1,104.0
1,2,8,7,1,7,64,1,15943.0
1,28,28,1,4,16,1,1,15939.0
0,112,7,2,8,4,1,1,100.0
0,7,4,8,8,1,28,1,100.0
0,8,196,1,4,1,8,1,96.0
0,16,2,7,7,1,32,1,100.0
0,7,2,14,32,2,4,1,104.0
0,7,8,1,28,16,2,1,104.0
0,2,7,14,32,1,8,1,100.0
0,2,8,49,1,64,1,1,96.0
0,28,1,4,14,8,4,1,104.0
0,28,2,1,2,28,16,1,104.0
0,98,1,4,4,32,1,1,96.0
1,56,2,2,2,16,7,1,15947.0
0,2,1,98,2,2,64,1,104.0
0,112,14,1,2,16,1,1,96.0
0,2,7,112,8,1,4,1,100.0
0,1,196,2,16,2,4,1,104.0
0,224,7,1,2,16,1,1,96.0
0,7,56,1,1,64,2,1,99.0
0,1,8,14,32,14,1,1,96.0
1,14,28,4,4,1,8,1,15943.0
1,1,14,7,2,128,2,1,15947.0
0,7,56,2,1,32,2,1,100.0
0,7,16,7,8,4,2,1,104.0
0,784,2,1,2,16,1,1,96.0
0,1,4,49,16,8,2,1,104.0
0,2,7,4,64,7,2,1,104.0
0,1,56,1,16,7,8,1,96.0
0,7,7,8,4,32,1,1,100.0
0,8,98,1,64,1,1,1,92.0
0,2,28,1,64,14,1,1,96.0
1,7,28,1,4,4,16,1,15947.0
0,2,4,14,8,7,8,1,104.0
0,1,49,4,1,4,64,1,96.0
0,4,2,28,56,4,1,1,100.0
0,49,2,1,8,32,2,1,104.0
0,7,8,2,28,2,8,1,104.0
0,8,4,49,2,2,8,1,104.0
0,16,49,1,2,2,16,1,104.0
0,1,2,56,2,56,4,1,104.0
0,2,7,4,16,7,8,1,104.0
0,196,4,2,2,1,16,1,100.0
0,7,14,8,2,16,2,1,104.0
0,32,1,7,8,7,4,1,104.0
0,49,8,4,1,8,4,1,100.0
0,14,2,7,8,2,16,1,104.0
0,7,8,2,14,4,8,1,104.0
0,4,2,7,2,56,8,1,104.0
0,4,1,28,32,2,7,1,104.0
1,49,1,8,2,1,64,1,15939.0
0,1,2,49,128,2,2,1,104.0
0,1,14,4,1,14,64,1,96.0
0,14,2,4,14,32,1,1,100.0
0,2,56,2,56,4,1,1,100.0
0,1,2,56,2,7,32,1,104.0
0,28,1,2,64,7,2,1,104.0
0,2,784,1,2,1,16,1,96.0
1,2,28,1,1,32,28,1,15942.0
0,28,1,8,8,4,7,1,104.0
0,16,7,1,1,7,64,1,99.0
0,7,2,28,4,16,2,1,104.0
0,784,1,2,2,8,2,1,104.0
0,56,7,4,2,8,2,1,104.0
0,98,2,4,64,1,1,1,96.0
0,2,8,7,4,28,4,1,104.0
0,16,14,1,16,14,1,1,96.0
0,7,1,7,1,256,4,1,96.0
0,4,1,98,1,2,64,1,96.0
1,98,8,1,1,32,2,1,15942.0
1,1,28,56,32,1,1,1,15935.0
0,1,28,2,16,7,8,1,104.0
0,4,1,28,112,1,4,1,96.0
0,28,2,14,2,8,4,1,104.0
1,2,112,7,16,1,2,1,15943.0
0,28,28,1,2,1,32,1,96.0
1,8,1,14,14,16,2,1,15947.0
0,1,224,1,1,112,2,1,92.0
0,7,1,56,16,4,2,1,104.0
0,1,7,16,2,32,7,1,104.0
0,7,2,28,32,4,1,1,100.0
0,1,14,56,8,1,8,1,96.0
0,98,2,1,2,16,8,1,104.0
1,14,2,2,112,2,4,1,15947.0
0,7,1,28,2,4,32,1,104.0
0,7,2,16,56,2,2,1,104.0
0,2,2,28,2,56,4,1,104.0
0,112,1,1,56,4,2,1,96.0
0,8,2,7,112,4,1,1,100.0
0,2,1,112,1,28,8,1,96.0
0,1,7,8,1,28,32,1,96.0
0,28,4,1,7,4,16,1,104.0
0,4,49,8,8,2,2,1,104.0
0,2,49,1,128,2,2,1,104.0
0,7,56,1,4,32,1,1,96.0
0,2,16,49,8,2,2,1,104.0
0,2,4,7,8,7,16,1,104.0
0,28,1,8,1,8,28,1,96.0
0,56,1,4,7,16,2,1,104.0
0,7,1,16,4,112,1,1,96.0
0,98,1,2,16,4,4,1,104.0
0,4,56,1,2,8,14,1,104.0
0,28,14,2,2,16,2,1,104.0
0,8,7,4,16,2,7,1,104.0
0,4,14,2,14,1,32,1,100.0
0,2,14,4,56,8,1,1,100.0
0,1,2,784,16,2,1,1,96.0
0,16,7,7,4,16,1,1,100.0
0,14,1,16,4,4,14,1,104.0
1,2,98,1,2,128,1,1,15939.0
0,2,1,28,2,32,14,1,104.0
1,4,28,1,4,56,2,1,15947.0
0,32,1,49,16,2,1,1,96.0
0,7,2,8,224,2,1,1,100.0
0,14,28,1,8,16,1,1,96.0
0,98,2,4,2,4,8,1,104.0
0,1,4,14,8,16,7,1,104.0
0,4,7,28,1,32,2,1,100.0
0,1,112,7,4,8,2,1,104.0
0,98,2,2,16,2,4,1,104.0
0,32,7,1,112,2,1,1,96.0
0,7,7,4,2,8,16,1,104.0
0,16,7,2,2,14,8,1,104.0
0,112,2,1,8,1,28,1,96.0
0,2,14,7,32,8,1,1,100.0
0,2,28,28,8,1,4,1,100.0
0,98,1,4,8,16,1,1,96.0
0,4,1,49,8,1,32,1,96.0
0,2,2,392,1,32,1,1,96.0
0,196,2,2,2,2,16,1,104.0
1,8,2,49,2,32,1,1,15943.0
0,1,1,56,1,112,8,1,92.0
0,2,8,14,7,2,16,1,104.0
0,2,28,7,32,2,2,1,104.0
0,8,1,14,1,32,14,1,96.0
0,28,28,2,8,4,1,1,100.0
0,56,1,28,4,4,2,1,104.0
0,7,8,1,2,7,64,1,104.0
0,2,7,7,8,1,64,1,100.0
0,14,14,2,32,1,4,1,100.0
0,8,14,1,2,4,56,1,104.0
0,56,2,2,28,4,2,1,104.0
0,784,1,2,1,16,2,1,96.0
0,2,28,14,2,4,8,1,104.0
1,7,16,1,32,14,1,1,15939.0
0,7,4,7,256,1,1,1,96.0
0,1,32,49,8,2,2,1,104.0
0,4,49,2,8,2,8,1,104.0
0,49,4,2,4,4,8,1,104.0
0,14,1,8,1,14,32,1,96.0
0,2,7,28,4,1,32,1,100.0
0,14,1,7,64,8,1,1,96.0
0,1,7,28,128,2,1,1,96.0
1,1,28,2,4,28,8,1,15947.0
0,7,4,2,8,4,28,1,104.0
0,7,7,1,64,8,2,1,104.0
0,49,1,16,32,2,1,1,96.0
0,1,56,1,2,7,64,1,96.0
0,2,49,2,32,4,2,1,104.0
0,32,7,1,4,4,14,1,104.0
0,1,56,2,7,8,8,1,104.0
0,4,56,1,1,32,7,1,99.0
1,4,4,7,7,16,4,1,15947.0
0,7,112,1,1,32,2,1,99.0
0,7,16,2,8,28,1,1,100.0
1,4,14,7,2,4,16,1,15947.0
0,1,16,14,7,8,4,1,104.0
0,28,2,2,1,56,8,1,100.0
0,28,1,4,4,14,8,1,104.0
1,14,2,8,28,4,2,1,15947.0
0,1,7,28,1,256,1,1,92.0
0,7,7,1,4,128,2,1,104.0
0,7,1,8,4,7,32,1,104.0
0,8,7,2,14,2,16,1,104.0
0,1,49,2,64,8,1,1,96.0
1,14,56,1,8,8,1,1,15939.0
0,98,1,1,64,4,2,1,96.0
0,98,1,2,8,16,2,1,104.0
0,2,16,7,8,28,1,1,100.0
0,7,2,8,16,1,28,1,100.0
0,28,2,4,4,28,2,1,104.0
0,28,14,2,16,4,1,1,100.0
1,1,4,196,16,4,1,1,15939.0
0,7,4,56,1,4,8,1,100.0
1,2,2,14,112,1,8,1,15943.0
0,4,98,2,16,1,4,1,100.0
0,16,98,1,2,16,1,1,96.0
0,1,28,2,28,2,16,1,104.0
0,28,2,1,28,8,4,1,104.0
0,2,7,28,8,2,8,1,104.0
0,8,4,7,112,2,1,1,100.0
0,98,4,2,2,32,1,1,100.0
0,1,8,14,1,56,8,1,96.0
0,28,1,14,16,4,2,1,104.0
1,98,1,16,2,8,2,1,15947.0
0,2,14,2,16,28,2,1,104.0
0,14,1,56,1,32,2,1,96.0
0,16,7,1,1,8,56,1,99.0
0,28,1,2,2,28,16,1,104.0
0,1,224,7,4,8,1,1,96.0
0,1,8,7,28,4,8,1,104.0
0,56,2,2,7,2,16,1,104.0
0,98,4,2,32,1,2,1,100.0
0,7,8,28,1,2,16,1,100.0
0,98,2,1,2,64,2,1,104.0
0,14,4,4,1,28,8,1,100.0
0,14,1,14,128,2,1,1,96.0
1,4,14,2,4,16,7,1,15947.0
0,2,8,14,2,7,16,1,104.0
0,2,98,1,32,1,8,1,96.0
1,4,14,4,4,4,14,1,15947.0
0,2,7,8,28,4,4,1,104.0
0,14,1,56,1,2,32,1,96.0
0,28,2,2,4,7,16,1,104.0
0,56,2,1,8,28,2,1,104.0
0,2,4,14,28,16,1,1,100.0
0,7,2,4,4,16,14,1,104.0
0,98,2,4,8,1,8,1,100.0
0,56,2,1,1,32,14,1,99.0
0,56,1,1,8,16,7,1,96.0
0,2,1,112,4,56,1,1,96.0
0,1,1,112,2,224,1,1,92.0
0,7,56,2,64,1,1,1,96.0
0,56,1,7,4,2,16,1,104.0
0,8,1,7,56,16,1,1,96.0
0,196,2,4,32,1,1,1,96.0
0,224,1,1,8,2,14,1,96.0
0,8,7,4,14,16,1,1,100.0
0,1,1568,1,4,1,8,1,92.0
0,7,8,14,1,8,8,1,100.0
0,4,1,392,1,2,16,1,96.0
0,28,1,14,2,64,1,1,96.0
0,1,56,14,4,16,1,1,96.0
1,2,8,14,8,2,14,1,15947.0
0,7,16,1,8,2,28,1,104.0
0,2,28,28,2,8,2,1,104.0
1,16,1,98,8,4,1,1,15939.0
0,28,2,7,2,4,16,1,104.0
0,14,2,4,1,448,1,1,96.0
0,4,7,2,1,112,8,1,100.0
0,8,1,14,7,16,4,1,104.0
0,1,1,392,128,1,1,1,88.0
0,56,28,1,2,2,8,1,104.0
0,4,4,7,2,16,14,1,104.0
0,7,8,4,7,8,4,1,104.0
0,2,28,4,2,4,28,1,104.0
0,14,14,8,4,8,1,1,100.0
0,14,56,1,2,4,8,1,104.0
1,14,2,2,32,2,14,1,15947.0
0,56,1,7,2,2,32,1,104.0
0,2,1,49,32,2,8,1,104.0
0,28,1,4,16,1,28,1,96.0
0,1,56,1,16,8,7,1,96.0
0,8,1,98,2,8,4,1,104.0
0,7,4,4,8,2,28,1,104.0
0,8,49,2,4,2,8,1,104.0
0,2,7,112,2,1,16,1,100.0
0,2,14,7,1,32,8,1,100.0
0,4,4,49,2,32,1,1,100.0
0,4,4,98,8,4,1,1,100.0
0,2,7,14,2,32,4,1,104.0
0,98,4,2,4,16,1,1,100.0
0,1,4,14,224,1,4,1,96.0
0,2,7,16,1,14,16,1,100.0
0,2,2,14,56,4,4,1,104.0
0,1,1,56,56,4,4,1,96.0
0,2,16,7,14,16,1,1,100.0
0,1,7,14,4,128,1,1,96.0
0,2,1,56,4,14,8,1,104.0
0,28,2,1,2,16,28,1,104.0
0,98,8,2,2,2,8,1,104.0
0,56,2,7,32,1,2,1,100.0
0,8,7,2,16,2,14,1,104.0
0,1,1,56,16,14,4,1,96.0
0,28,1,14,8,8,2,1,104.0
0,2,7,7,16,1,32,1,100.0
0,14,4,1,8,16,7,1,104.0
0,28,1,2,2,7,64,1,104.0
0,1,98,4,2,4,16,1,104.0
0,4,1,28,1,112,4,1,96.0
0,4,14,4,224,1,1,1,96.0
0,1,16,49,8,4,2,1,104.0
1,1,1,224,8,28,1,1,15935.0
0,98,8,2,8,1,4,1,100.0
0,4,7,14,2,16,4,1,104.0
0,7,7,4,4,8,8,1,104.0
0,4,56,7,1,2,16,1,100.0
0,4,7,8,1,4,56,1,100.0
0,28,4,1,1,56,8,1,99.0
0,8,98,1,1,2,32,1,99.0
1,1,32,7,14,8,2,1,15947.0
0,7,14,2,128,2,1,1,100.0
0,8,7,1,8,7,16,1,104.0
0,1,1,1568,1,4,8,1,92.0
0,7,28,8,8,2,2,1,104.0
0,14,2,56,4,2,4,1,104.0
0,1,49,32,16,1,2,1,96.0
1,1,49,8,4,8,4,1,15947.0
0,49,16,2,1,32,1,1,96.0
0,1,14,28,8,4,4,1,104.0
0,4,4,7,56,1,8,1,100.0
0,4,4,7,64,7,1,1,100.0
0,4,7,2,7,64,2,1,104.0
0,1,7,32,1,4,56,1,96.0
1,4,14,2,16,7,4,1,15947.0
1,784,1,1,1,32,2,1,15935.0
0,4,28,1,16,2,14,1,104.0
1,8,1,49,2,32,2,1,15947.0
0,1,1,392,32,1,4,1,92.0
0,14,7,1,64,8,1,1,96.0
0,2,28,4,28,8,1,1,100.0
0,14,7,16,1,32,1,1,96.0
0,49,1,1,4,64,4,1,96.0
0,28,14,2,64,1,1,1,96.0
0,2,112,7,4,8,1,1,100.0
0,1,14,16,2,56,2,1,104.0
0,2,14,28,32,1,2,1,100.0
0,2,7,56,2,16,2,1,104.0
0,7,14,16,2,2,8,1,104.0
1,7,16,2,7,32,1,1,15943.0
0,98,1,4,4,2,16,1,104.0
0,1,28,2,2,56,8,1,104.0
0,1,1,98,4,2,64,1,96.0
0,1,28,7,128,2,1,1,96.0
0,1,196,2,4,16,2,1,104.0
0,1,2,56,1,16,28,1,96.0
0,1,32,7,7,1,32,1,96.0
0,1,49,2,32,8,2,1,104.0
0,2,1,28,8,2,56,1,104.0
0,2,56,2,1,14,16,1,100.0
0,1,196,1,64,2,2,1,96.0
0,1,28,4,64,7,1,1,96.0
0,8,7,1,4,4,56,1,104.0
0,28,7,1,64,2,2,1,104.0
0,7,2,8,56,8,1,1,100.0
0,1,8,7,64,1,14,1,96.0
0,2,49,4,1,8,16,1,100.0
0,14,4,2,2,28,8,1,104.0
0,98,1,2,64,1,4,1,96.0
0,8,4,7,16,1,14,1,100.0
0,1,14,14,2,32,4,1,104.0
0,49,2,4,2,8,8,1,104.0
0,7,16,1,112,4,1,1,96.0
0,98,1,1,2,4,64,1,96.0
0,2,7,8,224,2,1,1,100.0
0,1,7,7,16,16,4,1,104.0
0,7,16,2,8,1,28,1,100.0
0,4,7,4,8,8,7,1,104.0
0,7,56,4,2,16,1,1,100.0
0,28,1,7,32,1,8,1,96.0
0,32,7,1,16,14,1,1,96.0
0,1,392,1,4,2,16,1,96.0
0,1,14,28,64,2,1,1,96.0
0,28,1,2,16,1,56,1,96.0
1,784,1,1,2,32,1,1,15935.0
0,28,4,1,1,112,4,1,99.0
0,2,7,14,2,64,2,1,104.0
0,98,1,1,1,32,16,1,92.0
0,16,7,1,4,4,28,1,104.0
0,2,14,4,2,112,2,1,104.0
0,2,7,28,2,4,16,1,104.0
0,1,98,1,8,64,1,1,92.0
0,14,8,2,2,56,2,1,104.0
0,1,2,49,16,32,1,1,96.0
0,16,2,7,8,2,14,1,104.0
0,7,1,16,32,1,14,1,96.0
0,4,28,2,8,2,14,1,104.0
0,2,14,8,4,8,7,1,104.0
0,7,4,4,7,16,4,1,104.0
0,2,8,98,4,8,1,1,100.0
0,14,14,1,32,8,1,1,96.0
0,14,2,28,1,16,4,1,100.0
0,1,112,1,1,224,2,1,92.0
0,1,14,7,256,2,1,1,96.0
0,2,28,1,28,32,1,1,96.0
0,2,28,4,1,224,1,1,96.0
0,8,28,7,16,2,1,1,100.0
0,98,2,1,1,16,16,1,99.0
0,1,2,49,1,8,64,1,96.0
0,49,1,16,16,4,1,1,96.0
0,2,56,2,14,16,1,1,100.0
0,14,2,28,8,2,4,1,104.0
0,49,32,1,4,8,1,1,96.0
0,28,8,7,1,16,2,1,100.0
0,16,7,1,2,7,32,1,104.0
0,4,2,7,224,4,1,1,100.0
0,4,28,14,32,1,1,1,96.0
0,14,16,7,1,4,8,1,100.0
1,2,7,8,112,4,1,1,15943.0
1,2,1,112,14,8,2,1,15947.0
0,1,1,49,2,256,2,1,96.0
0,8,49,4,1,4,8,1,100.0
0,2,56,1,4,4,28,1,104.0
0,112,2,7,1,32,1,1,96.0
1,28,1,8,2,112,1,1,15939.0
0,2,4,28,1,56,4,1,100.0
0,49,4,2,8,4,4,1,104.0
0,4,392,1,8,2,2,1,104.0
0,14,14,8,16,2,1,1,100.0
1,4,1,14,64,1,14,1,15939.0
0,1,28,8,7,16,2,1,104.0
0,1,224,1,16,1,14,1,92.0
0,2,28,7,4,16,2,1,104.0
0,28,1,2,1,28,32,1,96.0
0,14,2,2,14,1,64,1,100.0
0,196,2,4,1,1,32,1,96.0
0,4,2,7,4,56,4,1,104.0
0,8,49,1,64,1,2,1,96.0
1,56,2,1,28,16,1,1,15939.0
0,7,2,112,2,16,1,1,100.0
0,28,4,1,224,1,2,1,96.0
0,32,1,7,7,1,32,1,96.0
0,14,2,28,16,2,2,1,104.0
0,2,16,7,1,14,16,1,100.0
0,7,4,4,448,1,1,1,96.0
0,49,1,4,32,4,2,1,104.0
0,7,2,8,56,4,2,1,104.0
0,14,56,2,2,2,8,1,104.0
0,49,2,8,2,1,32,1,100.0
1,1,1,112,14,16,2,1,15939.0
0,196,4,1,1,4,16,1,99.0
0,1,49,32,4,1,8,1,96.0
0,7,28,2,4,2,16,1,104.0
0,7,14,1,2,8,32,1,104.0
0,2,28,1,64,1,14,1,96.0
0,1,1,784,16,4,1,1,92.0
0,1,7,8,4,8,28,1,104.0
0,7,16,7,2,16,2,1,104.0
0,49,2,4,4,8,4,1,104.0
0,4,1,28,4,56,2,1,104.0
0,7,112,1,1,64,1,1,92.0
0,1,8,7,2,14,32,1,104.0
0,56,1,28,2,8,2,1,104.0
0,8,28,1,224,1,1,1,92.0
0,4,14,4,56,4,1,1,100.0
0,4,56,1,8,2,14,1,104.0
0,16,2,7,1,56,4,1,100.0
0,8,7,1,896,1,1,1,92.0
0,7,2,16,2,8,14,1,104.0
0,7,1,16,2,14,16,1,104.0
0,32,1,49,2,16,1,1,96.0
0,784,1,2,2,2,8,1,104.0
0,1,2,196,2,16,4,1,104.0
0,28,1,2,1,64,14,1,96.0
0,2,4,14,1,56,8,1,100.0
0,1,28,4,4,4,28,1,104.0
0,1,7,224,1,8,4,1,96.0
0,2,14,28,2,8,4,1,104.0
0,14,16,1,112,1,2,1,96.0
0,4,14,2,2,16,14,1,104.0
0,16,1,7,14,4,8,1,104.0
0,16,1,14,1,32,7,1,96.0
0,4,2,14,28,16,1,1,100.0
0,49,4,1,1,8,32,1,99.0
0,16,7,1,112,4,1,1,96.0
0,7,1,112,8,1,8,1,96.0
0,2,2,56,112,1,2,1,100.0
1,1,112,2,1,16,14,1,15939.0
0,1,2,784,2,8,2,1,104.0
1,14,4,2,4,112,1,1,15943.0
0,7,1,32,2,16,7,1,104.0
0,16,1,98,2,8,2,1,104.0
0,56,14,2,4,1,8,1,100.0
1,2,98,2,2,64,1,1,15943.0
1,28,2,1,16,28,2,1,15947.0
0,112,1,2,14,2,8,1,104.0
0,8,2,7,4,56,2,1,104.0
0,14,2,4,1,224,2,1,100.0
0,98,4,2,1,1,64,1,96.0
0,2,8,49,8,1,8,1,100.0
0,7,2,28,4,32,1,1,100.0
1,56,1,1,32,14,2,1,15939.0
0,14,7,2,1,64,4,1,100.0
0,7,8,2,14,8,4,1,104.0
0,392,2,1,16,1,4,1,96.0
0,7,2,7,8,64,1,1,100.0
0,7,8,1,4,16,14,1,104.0
0,28,14,1,32,2,2,1,104.0
0,49,2,2,16,2,8,1,104.0
0,1,2,28,2,32,14,1,104.0
0,98,1,4,16,1,8,1,96.0
0,28,4,1,14,16,2,1,104.0
0,784,1,1,1,4,16,1,92.0
0,4,1,56,4,14,4,1,104.0
0,49,1,1,4,128,2,1,96.0
0,7,2,16,7,1,32,1,100.0
0,1,14,8,1,7,64,1,96.0
0,1,2,112,7,32,1,1,96.0
0,16,2,49,16,2,1,1,100.0
0,2,196,1,16,1,8,1,96.0
0,8,7,1,4,16,14,1,104.0
0,1,14,112,2,1,16,1,96.0
0,7,7,2,4,128,1,1,100.0
0,1,112,2,4,56,1,1,96.0
0,4,1,56,1,7,32,1,96.0
0,2,4,7,2,14,32,1,104.0
0,1,16,14,8,4,7,1,104.0
0,8,7,4,56,1,4,1,100.0
0,1,28,14,8,4,4,1,104.0
0,1,14,112,1,8,4,1,96.0
0,1,784,2,2,8,2,1,104.0
0,7,4,2,1,28,32,1,100.0
0,7,28,1,2,4,32,1,104.0
0,56,2,1,2,16,14,1,104.0
0,14,28,2,2,32,1,1,100.0
0,14,14,8,1,1,32,1,96.0
0,2,28,2,1,16,28,1,100.0
0,2,112,1,224,1,1,1,92.0
0,14,56,1,2,1,32,1,96.0
0,4,14,2,4,7,16,1,104.0
0,49,4,4,4,8,2,1,104.0
0,1,28,7,4,32,2,1,104.0
0,28,14,2,4,1,16,1,100.0
1,1,56,1,64,14,1,1,15935.0
0,1,4,98,16,4,2,1,104.0
0,7,32,1,32,7,1,1,96.0
0,56,1,2,7,4,16,1,104.0
0,2,1,49,1,256,2,1,96.0
0,14,7,1,4,16,8,1,104.0
0,4,4,7,28,8,2,1,104.0
0,2,7,8,112,1,4,1,100.0
0,1,4,196,32,2,1,1,96.0
0,2,28,4,112,1,2,1,100.0
0,1,2,56,8,7,8,1,104.0
0,2,14,2,1,224,4,1,100.0
0,2,4,7,56,1,16,1,100.0
0,1,14,7,32,2,8,1,104.0
0,14,1,112,1,16,2,1,96.0
0,98,8,2,1,16,2,1,100.0
0,14,1,16,28,4,2,1,104.0
0,16,7,7,2,2,16,1,104.0
1,1,4,14,1,128,7,1,15939.0
1,1,1,56,2,224,2,1,15939.0
0,16,14,1,14,16,1,1,96.0
0,14,7,1,8,4,16,1,104.0
0,4,7,2,28,2,16,1,104.0
0,4,4,14,2,112,1,1,100.0
0,98,1,2,32,4,2,1,104.0
0,1,28,4,4,112,1,1,96.0
0,2,98,2,32,2,2,1,104.0
0,1,112,1,64,1,7,1,92.0
0,14,1,8,8,4,14,1,104.0
0,7,1,56,4,8,4,1,104.0
0,1,4,56,7,4,8,1,104.0
0,49,2,16,1,16,2,1,100.0
1,16,7,14,16,1,2,1,15943.0
1,7,112,1,2,16,2,1,15947.0
1,28,4,2,4,7,8,1,15947.0
0,2,28,1,224,2,2,1,104.0
0,1,14,28,16,2,4,1,104.0
0,2,49,2,8,2,16,1,104.0
0,14,1,4,14,16,4,1,104.0
0,7,2,7,8,4,16,1,104.0
0,14,14,2,2,64,1,1,100.0
0,7,4,14,16,2,4,1,104.0
0,4,14,1,8,28,4,1,104.0
0,7,4,7,1,256,1,1,96.0
0,14,1,28,4,8,4,1,104.0
0,4,1,28,448,1,1,1,92.0
0,112,1,1,56,2,4,1,96.0
0,2,1,56,1,14,32,1,96.0
0,14,7,1,32,1,16,1,96.0
0,4,1,28,32,14,1,1,96.0
0,56,1,7,32,4,1,1,96.0
0,14,7,2,2,32,4,1,104.0
0,7,32,1,2,4,28,1,104.0
0,14,4,1,16,4,14,1,104.0
0,7,8,2,2,4,56,1,104.0
0,1,2,28,4,7,32,1,104.0
0,2,56,1,1,7,64,1,99.0
0,14,14,4,2,8,4,1,104.0
0,16,1,49,4,1,16,1,96.0
0,1,8,196,1,16,2,1,96.0
0,7,1,8,8,14,8,1,104.0
0,14,7,1,1,8,64,1,99.0
0,28,1,2,1,112,8,1,96.0
0,8,2,14,56,2,2,1,104.0
0,4,28,7,4,1,16,1,100.0
0,2,56,7,2,32,1,1,100.0
0,1,2,112,4,2,28,1,104.0
0,14,8,2,32,7,1,1,100.0
0,4,1,14,1,14,64,1,96.0
1,1,28,2,7,2,64,1,15947.0
0,16,1,7,56,2,4,1,104.0
0,7,16,1,1,64,7,1,99.0
0,1,7,7,16,1,64,1,96.0
0,7,8,1,448,2,1,1,96.0
0,16,49,1,1,32,2,1,99.0
0,112,1,2,2,16,7,1,104.0
0,8,49,4,4,4,2,1,104.0
0,7,2,4,16,2,28,1,104.0
0,4,14,1,32,4,7,1,104.0
0,14,8,1,2,112,2,1,104.0
0,56,7,4,2,4,4,1,104.0
0,14,1,7,512,1,1,1,92.0
0,14,1,16,4,1,56,1,96.0
0,7,2,4,1,128,7,1,100.0
